Worker.ID,Article Title: Month,Description1,Description2,Description3,Description4,Description1 Score,Description2 Score,Description3 Score,Description4 Score
Worker1,Elizabeth_II : March,Involved in scandal regarding Meghan Markle and her baby,She is a famous queen,Is related to Meghan Markle,She’s royalty,9,4,6,2
Worker1,Donald Trump: January,Is president of the United States,Is a controversial character,Incited violent protests at the Capital due to tweets,Donald Trump is a person,5,5,10,2
Worker1,Godzilla vs. Kong: March,The movie was just released,"New rendition of the movie was just released, causing heated debate",All time great movie,People like Godzilla and Kong,6,9,4,3
Worker2,Elizabeth_II : March,Involved in scandal regarding Meghan Markle and her baby,She is a famous queen,Is related to Meghan Markle,She’s royalty,10,6,6,4
Worker2,Donald Trump: January,Is president of the United States,Is a controversial character,Incited violent protests at the Capital due to tweets,Donald Trump is a person,6,4,7,1
Worker2,Godzilla vs. Kong: March,The movie was just released,"New rendition of the movie was just released, causing heated debate",All time great movie,People like Godzilla and Kong,5,7,3,2
Worker3,Elizabeth_II : March,Involved in scandal regarding Meghan Markle and her baby,She is a famous queen,Is related to Meghan Markle,She’s royalty,7,4,7,2
Worker3,Donald Trump: January,Is president of the United States,Is a controversial character,Incited violent protests at the Capital due to tweets,Donald Trump is a person,3,4,10,1
Worker3,Godzilla vs. Kong: March,The movie was just released,"New rendition of the movie was just released, causing heated debate",All time great movie,People like Godzilla and Kong,4,10,6,4
Worker4,Elizabeth_II : March,Involved in scandal regarding Meghan Markle and her baby,She is a famous queen,Is related to Meghan Markle,She’s royalty,8,4,7,2
Worker4,Donald Trump: January,Is president of the United States,Is a controversial character,Incited violent protests at the Capital due to tweets,Donald Trump is a person,3,5,8,1
Worker4,Godzilla vs. Kong: March,The movie was just released,"New rendition of the movie was just released, causing heated debate",All time great movie,People like Godzilla and Kong,6,9,4,3