month,title
January,Kobe_Bryant
January,Media
January,Coronavirus
January,Aaron_Hernandez
January,Qasem_Soleimani
January,Kobe_Bryant_sexual_assault_case
January,1917_(2019_film)
January,The_Witcher_(TV_series)
January,2019–20_Wuhan_coronavirus_outbreak
January,Billie_Eilish
February,United_States_Senate
February,Wikipedia
February,Parasite_(2019_film)
February,2019–20_Wuhan_coronavirus_outbreak
February,Coronavirus
February,Shakira
February,Michael_Bloomberg
February,Pete_Buttigieg
February,Kobe_Bryant
February,Tyson_Fury
March,United_States_Senate
March,2019–20_coronavirus_pandemic
March,Coronavirus
March,2019–20_coronavirus_outbreak
March,Spanish_flu
March,Coronavirus_disease_2019
March,2020_coronavirus_pandemic_in_India
March,2020_coronavirus_pandemic_in_Italy
March,2020_coronavirus_pandemic_in_the_United_States
March,2019–20_coronavirus_pandemic_by_country_and_territory
April,United_States_Senate
April,2019–20_coronavirus_pandemic
April,Tasuku_Honjo
April,Kim_Jong-un
April,Joe_Exotic
April,2019–20_coronavirus_pandemic_by_country_and_territory
April,Irrfan_Khan
April,2020_coronavirus_pandemic_in_India
April,2020_coronavirus_pandemic_in_the_United_States
April,Carole_Baskin
May,Michael_Jordan
May,Elon_Musk
May,Bible
May,COVID-19_pandemic
May,Death_of_George_Floyd
May,Tasuku_Honjo
May,Deaths_in_2020
May,Grimes_(musician)
May,Template:2019–20_coronavirus_pandemic_data
May,Antifa_(United_States)
June,Sushant_Singh_Rajput
June,Juneteenth
June,Bible
June,Antifa_(United_States)
June,Killing_of_George_Floyd
June,Shooting_of_Breonna_Taylor
June,Jeffrey_Epstein
June,COVID-19_pandemic
June,Deaths_in_2020
June,George_Floyd
July,Alexander_Hamilton
July,Naya_Rivera
July,Hamilton_(musical)
July,Bible
July,Kelly_Preston
July,Deaths_in_2020
July,Ghislaine_Maxwell
July,Jeffrey_Epstein
July,John_Lewis_(civil_rights_leader)
July,Aaron_Burr
August,Kamala_Harris
August,Chadwick_Boseman
August,Bible
August,QAnon
August,The_Umbrella_Academy_(TV_series)
August,Joe_Biden
August,Deaths_in_2020
August,Tenet_(film)
August,Donald_Trump
August,Shakuntala_Devi
September,Ruth_Bader_Ginsburg
September,Amy_Coney_Barrett
September,Tenet_(film)
September,Shooting_of_Breonna_Taylor
September,Dennis_Nilsen
September,Deaths_in_2020
September,Mulan_(2020_film)
September,The_Boys_(2019_TV_series)
September,Bible
September,Joe_Biden
October,The_Haunting_of_Bly_Manor
October,Bible
October,Eddie_Van_Halen
October,Watts_family_murders
October,Amy_Coney_Barrett
October,Amy_Coney_Barrett
October,Kamala_Harris
October,Deaths_in_2020
October,Sean_Connery
October,Donald_Trump
November,Donald_Trump
November,Joe_Biden
November,Kamala_Harris
November,2020_United_States_presidential_election
November,2016_United_States_presidential_election
November,United_States_Electoral_College
November,The_Queen's_Gambit_(miniseries)
November,Diego_Maradona
November,Elizabeth_II
November,"Diana,_Princess_of_Wales"
December,Elliot_Page
December,Elizabeth_II
December,Deaths_in_2020
December,Wonder_Woman_1984
December,Bible
December,"Princess_Margaret,_Countess_of_Snowdon"
December,The_Queen's_Gambit_(miniseries)
December,The_Mandalorian
December,Cyberpunk_2077
December,Donald_Trump